Province,Tax Year,BracketNo,Bracket Minimum Income,Bracket Maximum Income,Tax Rate,Raw Minimum Tax Amount,Rounded Minimum Tax Amount,Surtax Rates,Surtax Thresholds
BC,2018,1,0,39676,0.0506,0,0,,
BC,2018,2,39676,79353,0.077,2007.6056,2008,,
BC,2018,3,79353,91107,0.105,5062.7346,5063,,
BC,2018,4,91107,110630,0.1229,6296.9046,6297,,
BC,2018,5,110630,150000,0.147,8696.2813,8696,,
BC,2018,6,150000,,0.168,14483.6713,14484,,
AB,2018,1,0,128145,0.1,0,0,,
AB,2018,2,128145,153773,0.12,12814.5,12815,,
AB,2018,3,153773,205031,0.13,15889.86,15890,,
AB,2018,4,205031,307547,0.14,22553.4,22553,,
AB,2018,5,307547,,0.15,36905.64,36906,,
SK,2018,1,0,45225,0.105,0,0,,
SK,2018,2,45225,129214,0.125,4748.625,4749,,
SK,2018,3,129214,,0.145,15247.25,15247,,
MB,2018,1,0,31843,0.108,0,0,,
MB,2018,2,31843,68821,0.1275,3439.044,3439,,
MB,2018,3,68821,,0.174,8153.739,8154,,
ON,2018,1,0,42960,0.0505,0,0,,
ON,2018,2,42960,85923,0.0915,2169.48,2169,20% for over $4638,
ON,2018,3,85923,150000,0.1116,6100.5945,6101,,
ON,2018,4,150000,220000,0.1216,13251.5877,13252,36% for over $5936,
ON,2018,5,220000,,0.1316,21763.5877,21764,,
QC,2018,1,0,43055,0.15,0,0,,
QC,2018,2,43055,86105,0.2,6458.25,6458,,
QC,2018,3,86105,104765,0.24,15068.25,15068,,
QC,2018,4,104765,,0.2575,19546.65,19547,,
NB,2018,1,0,41675,0.0968,0,0,,
NB,2018,2,41675,83351,0.1482,4034.14,4034,,
NB,2018,3,83351,135510,0.1652,10210.5232,10211,,
NB,2018,4,135510,154382,0.1784,18827.19,18827,,
NB,2018,5,154382,,0.203,22193.9548,22194,,
NS,2018,1,0,29590,0.0879,0,0,,
NS,2018,2,29590,59180,0.1495,2600.961,2601,,
NS,2018,3,59180,93000,0.1667,7024.666,7025,,
NS,2018,4,93000,150000,0.175,12662.46,12662,,
NS,2018,5,150000,,0.21,22637.46,22637,,
PE,2018,1,0,31984,0.098,0,0,,
PE,2018,2,31984,63969,0.138,3134.432,3134,,
PE,2018,3,63969,,0.167,7548.362,7548,10% for over $12500,
NF,2018,1,0,36927,0.087,0,0,,
NF,2018,2,36927,73852,0.145,3212.649,3213,,
NF,2018,3,73852,131850,0.158,8566.774,8567,,
NF,2018,4,131850,184590,0.173,17730.458,17730,,
NF,2018,5,184590,,0.183,26854.478,26854,,
YK,2018,1,0,46605,0.064,0,0,,
YK,2018,2,46605,93208,0.09,2982.72,2983,,
YK,2018,3,93208,144488,0.109,7176.99,7177,,
YK,2018,4,144488,500000,0.128,12766.51,12767,,
YK,2018,5,500000,,0.15,58272.046,58272,,
NT,2018,1,0,42209,0.059,0,0,,
NT,2018,2,42209,84420,0.086,2490.331,2490,,
NT,2018,3,84420,137247,0.122,6120.477,6120,,
NT,2018,4,137247,,0.1405,12565.371,12565,,
NU,2018,1,0,44437,0.04,0,0,,
NU,2018,2,44437,88873,0.07,1777.48,1777,,
NU,2018,3,88873,144488,0.09,4888,4888,,
NU,2018,4,144488,,0.115,9893.35,9893,,
